amt,fytd,comp_per_pfy,fy,month,rec,outlay,source_func_parent
181230.0,532792.0,514847.0,2016,1,True,False,Individual Income Taxes
7194.0,92093.0,104500.0,2016,1,True,False,Corporation Income Taxes
99198.0,331894.0,315880.0,2016,1,True,False,Social Insurance and Retirement Receipts
2214.0,9543.0,9690.0,2016,1,True,False,Social Insurance and Retirement Receipts
298.0,1276.0,1196.0,2016,1,True,False,Social Insurance and Retirement Receipts
6122.0,25991.0,26441.0,2016,1,True,False,Excise Taxes
1270.0,7303.0,6260.0,2016,1,True,False,Estate andGift Taxes
3047.0,12260.0,12264.0,2016,1,True,False,CustomsDuties
13005.0,66071.0,55146.0,2016,1,True,False,Miscellaneous Receipts
313579.0,1079224.0,1046224.0,2016,1,True,False,Total
39886.0,200333.0,204562.0,2016,1,False,True,National Defense
3733.0,15047.0,19215.0,2016,1,False,True,International Affairs
2028.0,9916.0,9729.0,2016,1,False,True,"General Science, Space, and Technology"
-104.0,1290.0,2805.0,2016,1,False,True,Energy
2905.0,11973.0,11574.0,2016,1,False,True,Natural Resources and Environment
1833.0,19090.0,15987.0,2016,1,False,True,Agriculture
708.0,-2030.0,-9440.0,2016,1,False,True,Commerce and Housing Credit
5570.0,28058.0,28066.0,2016,1,False,True,Transportation
1384.0,6425.0,7704.0,2016,1,False,True,Community and Regional Development
10811.0,31580.0,28847.0,2016,1,False,True,"Education, Training, Employment, and Social Services"
38377.0,162221.0,153058.0,2016,1,False,True,Health
44270.0,187038.0,200604.0,2016,1,False,True,Medicare
29056.0,141686.0,160587.0,2016,1,False,True,Income Security
49778.0,300864.0,289252.0,2016,1,False,True,Social Security
6815.0,55452.0,58001.0,2016,1,False,True,Veterans Benefits and Services
3934.0,17524.0,17077.0,2016,1,False,True,Administration of Justice
2135.0,6346.0,1924.0,2016,1,False,True,General Government
20726.0,83531.0,77234.0,2016,1,False,True,Net Interest
-5430.0,-36729.0,-36347.0,2016,1,False,True,Undistributed Offsetting Receipts
258416.0,1239615.0,1240437.0,2016,1,False,True,Total
-55163.0,0.0,0.0,2016,1,False,False,Deficit
0.0,160391.0,0.0,2016,1,False,False,Deficit
139537.0,352837.0,351562.0,2016,12,True,False,Individual Income Taxes
72811.0,75731.0,84899.0,2016,12,True,False,Corporation Income Taxes
86421.0,244588.0,232696.0,2016,12,True,False,Social Insurance and Retirement Receipts
375.0,6498.0,7329.0,2016,12,True,False,Social Insurance and Retirement Receipts
399.0,1046.0,977.0,2016,12,True,False,Social Insurance and Retirement Receipts
6438.0,19376.0,19869.0,2016,12,True,False,Excise Taxes
1931.0,4806.0,6033.0,2016,12,True,False,Estate andGift Taxes
2846.0,8812.0,9213.0,2016,12,True,False,CustomsDuties
8446.0,27077.0,53067.0,2016,12,True,False,Miscellaneous Receipts
319204.0,740771.0,765645.0,2016,12,True,False,Total
56918.0,156966.0,160447.0,2016,12,False,True,National Defense
2497.0,12253.0,11314.0,2016,12,False,True,International Affairs
3122.0,8034.0,7888.0,2016,12,False,True,"General Science, Space, and Technology"
177.0,1038.0,1394.0,2016,12,False,True,Energy
3839.0,9861.0,9068.0,2016,12,False,True,Natural Resources and Environment
3010.0,20191.0,17257.0,2016,12,False,True,Agriculture
-7834.0,-10561.0,-2738.0,2016,12,False,True,Commerce and Housing Credit
8021.0,22895.0,22489.0,2016,12,False,True,Transportation
2211.0,6929.0,5040.0,2016,12,False,True,Community and Regional Development
7590.0,18380.0,20769.0,2016,12,False,True,"Education, Training, Employment, and Social Services"
49366.0,133393.0,123844.0,2016,12,False,True,Health
45848.0,127073.0,142768.0,2016,12,False,True,Medicare
47914.0,106049.0,112629.0,2016,12,False,True,Income Security
77036.0,231447.0,251086.0,2016,12,False,True,Social Security
22340.0,43835.0,48636.0,2016,12,False,True,Veterans Benefits and Services
4907.0,14207.0,13590.0,2016,12,False,True,Administration of Justice
1824.0,5855.0,4208.0,2016,12,False,True,General Government
24056.0,72650.0,62805.0,2016,12,False,True,Net Interest
-6123.0,-31365.0,-31298.0,2016,12,False,True,Undistributed Offsetting Receipts
346720.0,949130.0,981196.0,2016,12,False,True,Total
27516.0,0.0,0.0,2016,12,False,False,Deficit
0.0,208359.0,0.0,2016,12,False,False,Deficit
91724.0,213300.0,202835.0,2016,11,True,False,Individual Income Taxes
643.0,2920.0,7928.0,2016,11,True,False,Corporation Income Taxes
81855.0,158166.0,154824.0,2016,11,True,False,Social Insurance and Retirement Receipts
3401.0,6123.0,6985.0,2016,11,True,False,Social Insurance and Retirement Receipts
321.0,647.0,607.0,2016,11,True,False,Social Insurance and Retirement Receipts
7231.0,12938.0,13146.0,2016,11,True,False,Excise Taxes
1550.0,2875.0,3845.0,2016,11,True,False,Estate andGift Taxes
2897.0,5966.0,6322.0,2016,11,True,False,CustomsDuties
10255.0,18631.0,19521.0,2016,11,True,False,Miscellaneous Receipts
199875.0,421567.0,416014.0,2016,11,True,False,Total
48021.0,100048.0,103857.0,2016,11,False,True,National Defense
5512.0,9756.0,7310.0,2016,11,False,True,International Affairs
2557.0,4912.0,4752.0,2016,11,False,True,"General Science, Space, and Technology"
643.0,861.0,547.0,2016,11,False,True,Energy
3240.0,6022.0,5632.0,2016,11,False,True,Natural Resourcesand Environment
5299.0,17181.0,13685.0,2016,11,False,True,Agriculture
-638.0,-2727.0,1639.0,2016,11,False,True,Commerce and Housing Credit
7652.0,14874.0,14094.0,2016,11,False,True,Transportation
2339.0,4717.0,3209.0,2016,11,False,True,Community and Regional Development
6812.0,10790.0,13251.0,2016,11,False,True,"Education, Training, Employment, and Social Services"
43370.0,84027.0,79891.0,2016,11,False,True,Health
57589.0,81225.0,98765.0,2016,11,False,True,Medicare
36830.0,58135.0,65477.0,2016,11,False,True,IncomeSecurity
76791.0,154411.0,149457.0,2016,11,False,True,SocialSecurity
14085.0,21495.0,27536.0,2016,11,False,True,Veterans Benefits and Services
4798.0,9300.0,8799.0,2016,11,False,True,Administration of Justice
